,original_index,ground_truth,synthesized,result
2766,2766,claimParameters.storageProtocol!=StorageProtocol.INVALID,claimParameters.startDate==0||claimParameters.startDate>block.timestamp,The predicates are not equivalent and neither is stronger.
2767,2767,"erc20.transfer(dst,amount)","erc20.transfer(dst,amount)",Exact Match
2768,2768,int8(pool.outcomes)>result,result>=0,The predicates are not equivalent and neither is stronger.
2769,2769,isExcludedFromFee[_address]!=_status,_address!=address(this),The predicates are not equivalent and neither is stronger.
2770,2770,isExcludedFromFee[account]!=excluded,_msgSender()!=account,The predicates are not equivalent and neither is stronger.
2771,2771,msg.sender==address(_fomo),msg.sender==dev,The predicates are not equivalent and neither is stronger.
2772,2772,msg.value>=RESERVED_PRICE*mintAmount,msg.value>=RESERVED_PRICE*mintAmount,Exact Match
2773,2773,msg.value>=TIER_ONE_COST*_mintAmount,msg.value>=TIER_ONE_COST*_mintAmount,Exact Match
2774,2774,msg.value>=payForCount*mooExtrUTOPAy,msg.value>=mooExtrUTOPAy*payForCount,The predicates are equivalent.
2775,2775,msg.value>=presaleMintPrice*quantity,msg.value>=presaleMintPrice*quantity,Exact Match
2776,2776,msg.value>=publicSalePrice*_claimQty,msg.value>=publicSalePrice*_claimQty,Exact Match
2777,2777,nodeOwners.get(_account)>0,nodeOwners.get(_account)!=0,The first predicate is stronger.
2778,2778,token.preSalePrice*_quantity<=_value,token.preSalePrice*_quantity<=_value,Exact Match
2779,2779,token.pubSalePrice*_quantity<=_value,token.pubSalePrice*_quantity<=_value,Exact Match
2780,2780,userIsGovernor(msg.sender),userIsGovernor(msg.sender),Exact Match
2781,2781,_msgSender()==order.maker,order.maker==msg.sender,The predicates are equivalent.
2782,2782,_purchasedTokensByWallet+tokensAmount<=LIMIT_TOKENS_FOR_GIVEAWAYS,_purchasedTokensByWallet+tokensAmount<=LIMIT_TOKENS_FOR_GIVEAWAYS,Exact Match
2783,2783,akc.ownerOf(kong)==staker,kongStakeData!=0,The predicates are not equivalent and neither is stronger.
2784,2784,bytes(vaultName).length>0,bytes(vaultName).length>0,Exact Match
2785,2785,dogePrice*numberOfTokens<=msg.value,dogePrice*numberOfTokens<=msg.value,Exact Match
2786,2786,"hasRole(_BURN,msg.sender)",_amount>0,The predicates are not equivalent and neither is stronger.
2787,2787,isBlackListed(msg.sender),isBlackListed(_msgSender()),The predicates are equivalent.
2788,2788,isLandExists(data.landId),data.landId>0,The predicates are not equivalent and neither is stronger.
2789,2789,isOnAllowList(msg.sender),isOnAllowList(msg.sender),Exact Match
2790,2790,isParticipant(msg.sender),isProposer(msg.sender),The predicates are not equivalent and neither is stronger.
2791,2791,locked(msg.sender)==false,!isCurrentlyLocked(msg.sender),The predicates are not equivalent and neither is stronger.
2792,2792,msg.sender==address(core),msg.sender==address(core),Exact Match
2793,2793,msg.sender==collectionAdditionalData[_collectionID].collectionArtistAddress,isCollectionCreated[_collectionID]==true,The predicates are not equivalent and neither is stronger.
2794,2794,msg.value==Public_Sale_Price*_count,msg.value>=Public_Sale_Price*_count,The first predicate is stronger.
2795,2795,msg.value==amount*PUBLIC_MINT_PRICE,msg.value==PUBLIC_MINT_PRICE*amount,The predicates are equivalent.
2796,2796,msg.value==getItemPrice(),msg.value>=_itemPrice,The predicates are not equivalent and neither is stronger.
2797,2797,msg.value>=MINT_COST*numberOfTokens,MINT_COST*numberOfTokens<=msg.value,The predicates are equivalent.
2798,2798,msg.value>=_nftPrice*numberOfTokens,msg.value>=_nftPrice.mul(numberOfTokens),The predicates are equivalent.
2799,2799,msg.value>=mainsaleCost*_mintAmount,msg.value>=mainsaleCost*_mintAmount,Exact Match
2800,2800,msg.value>=presalePrice*_mintAmount,msg.value>=presalePrice*_mintAmount,Exact Match
2801,2801,owners.has(_ownerAddress),owners.has(_ownerAddress),Exact Match
2802,2802,packageSent[_wallet]!=_packageIndex,packageSent[_wallet]!=_packageIndex,Exact Match
2803,2803,params.addy==_msgSender(),block.timestamp>tradingBlockedUntil,The predicates are not equivalent and neither is stronger.
2804,2804,pricePerTokenPresale*qty==msg.value,msg.value>=pricePerTokenPresale*qty,The first predicate is stronger.
2805,2805,"redeemable(msg.sender,id)",id==_redemptionId,The predicates are not equivalent and neither is stronger.
2806,2806,status||presale,freeze==false,The predicates are not equivalent and neither is stronger.
2807,2807,PricePreSale*mintAmount<=msg.value,msg.value>=PricePreSale*mintAmount,The predicates are equivalent.
2808,2808,TVC_PRICE*tokenQuantity<=msg.value,msg.value>=TVC_PRICE*tokenQuantity,The predicates are equivalent.
2809,2809,"canWithdrawERC721(_originalAddress,_erc721Address,_id)",_erc721WithdrawalAllowances[_originalAddress][_erc721Address][_id].isStored,The predicates are not equivalent and neither is stronger.
2810,2810,excludedFromMaxTxn[_user]!=_status,excludedFromMaxTxn[_user]!=_status,Exact Match
2811,2811,isAddressMaxTokenExempt[addr]!=val,addr!=address(0),The predicates are not equivalent and neither is stronger.
2812,2812,msg.value==NFT_PRICE*_tokensAmount,msg.value>=NFT_PRICE*_tokensAmount,The first predicate is stronger.
2813,2813,msg.value==privateMintPrice*amount,privateMintPrice*amount==msg.value,The predicates are equivalent.
2814,2814,msg.value>=CURRENT_PRICE*numTokens,msg.value>=CURRENT_PRICE*numTokens,Exact Match
2815,2815,payer1&&payer2,payer1&&payer2,Exact Match
2816,2816,totalSupply(TOKEN_ID_ARTISTPASS)<MAX_TOKENS_ARTISTPASS,NONCE_AP+numberOfTokens<=MAX_TOKENS_ARTISTPASS,The predicates are not equivalent and neither is stronger.
2817,2817,_isRateAdmin(msg.sender),_isRateAdmin(msg.sender),Exact Match
2818,2818,balanceOf(msg.sender)==0,recipientAddress[msg.sender],The predicates are not equivalent and neither is stronger.
2819,2819,balanceOf(msg.sender)>=0,rewardCycleBlock>0,The predicates are not equivalent and neither is stronger.
2820,2820,bytes(_nftName).length>0,bytes(_nftName).length>0,Exact Match
2821,2821,bytes(baseURI).length==0,currentStep==Step.Prologue,The predicates are not equivalent and neither is stronger.
2822,2822,bytes(mandate_).length>0,bytes(mandate_).length>0,Exact Match
2823,2823,bytes(referrer).length>0,bytes(referrer).length>0,Exact Match
2824,2824,diaDataNFTImpl.started(),allNFTs[postGenesisNFTs[NFTIndex]],The predicates are not equivalent and neither is stronger.
2825,2825,isController(msg.sender),isController(msg.sender),Exact Match
2826,2826,isStrategist(msg.sender),isStrategist(msg.sender),Exact Match
2827,2827,isUHSJorized(msg.sender),UHSJorizations[msg.sender],The predicates are not equivalent and neither is stronger.
2828,2828,msg.sender==address(slg),msg.sender==slg.owner(),The predicates are not equivalent and neither is stronger.
2829,2829,msg.value>=getMintCost(),msg.value>=getMintCost(),Exact Match
2830,2830,ownerOf(_id)==msg.sender,_exists(_id),The predicates are not equivalent and neither is stronger.
2831,2831,ownerOf(loan.buyerNftId),receiverAddress!=address(0),The predicates are not equivalent and neither is stronger.
2832,2832,termList.contains(_bond),termList.contains(_bond),Exact Match
2833,2833,"LINK.transfer(to,value)","LINK.transfer(to,value)",Exact Match
2834,2834,_msgSender()==tx.origin,!proxyContracts[_msgSender()],The predicates are not equivalent and neither is stronger.
2835,2835,balanceOf(msg.sender)<9,totalSupply()+_mintAmount<=maxSupply,The predicates are not equivalent and neither is stronger.
2836,2836,bet.gambler==address(0),bet.gambler==address(0),Exact Match
2837,2837,block.number>=_blockNumber+648000,block.number>_blockNumber+648000,The second predicate is stronger.
2838,2838,bytes(newName).length>0,bytes(newName).length>0,Exact Match
2839,2839,bytes(theName).length>0,bytes(theName).length>0,Exact Match
2840,2840,"hasRole(key,msg.sender)","hasRole(key,msg.sender)",Exact Match
2841,2841,isonIyOwner(msg.sender),isonIyOwner(_msgSender()),The predicates are equivalent.
2842,2842,marketAddr.isContract(),marketAddr!=address(this),The predicates are not equivalent and neither is stronger.
2843,2843,msg.sender==blockimmo(),msg.sender==blockimmo(),Exact Match
2844,2844,msg.sender==payee(node),payee(node)!=address(0),The predicates are not equivalent and neither is stronger.
2845,2845,msg.value>=WHITELIST_PRICE*amount,msg.value>=WHITELIST_PRICE*amount,Exact Match
2846,2846,msg.value>=ethPrice*_numberOfNFTs,msg.value>=ethPrice*_numberOfNFTs,Exact Match
2847,2847,msg.value>=publicSalePrice*amount,msg.value>=amount*publicSalePrice,The predicates are equivalent.
2848,2848,ownerOf(id)==msg.sender,!isSoul[id],The predicates are not equivalent and neither is stronger.
2849,2849,referrerBonus.notZero(),referrerBonus>0,The predicates are not equivalent and neither is stronger.
2850,2850,whiteListValue[_walletAddress]!=0,whiteListValue[_walletAddress]>0,The second predicate is stronger.
2851,2851,Address.isContract(_a),_a!=address(0),The predicates are not equivalent and neither is stronger.
2852,2852,_dao.isMember(creator),_dao.isMember(creator),Exact Match
2853,2853,_getArraySum(_beneficiariesShares)==TOTAL_IN_PERCENT,_unlockedFrom.length<=MAX_VESTING_RECORDS_PER_LOCK,The predicates are not equivalent and neither is stronger.
2854,2854,bet.player==address(0),bet.player==address(0),Exact Match
2855,2855,bytes(symbol).length>0,bytes(symbol).length>0,Exact Match
2856,2856,bytes(title_).length>0,amountAvailable_>0,The predicates are not equivalent and neither is stronger.
2857,2857,frozenAccounts[_target]!=_freeze,frozenAccounts[_target]!=_freeze,Exact Match
2858,2858,isEligible(msg.sender),!_alreadyMintedMapping[msg.sender],The predicates are not equivalent and neither is stronger.
2859,2859,isGovernor(msg.sender),isGovernor(msg.sender),Exact Match
2860,2860,"isHeld(msg.sender,_id)","isHeld(msg.sender,_id)",Exact Match
2861,2861,isInternal(msg.sender),isOwner(msg.sender),The predicates are not equivalent and neither is stronger.
2862,2862,isPresaleAddress[presale]!=yesno,presale!=address(0),The predicates are not equivalent and neither is stronger.
2863,2863,msg.sender==getAdmin(),msg.sender==executionAdmin,The predicates are not equivalent and neither is stronger.
2864,2864,msg.value==getPrice(1),msg.value>=getPrice(1),The first predicate is stronger.
2865,2865,msg.value==mintPrice*_mintAmount,msg.value>=mintPrice*_mintAmount,The first predicate is stronger.
2866,2866,msg.value>=_mintAmount*mintPrice,msg.value>=mintPrice*_mintAmount,The predicates are equivalent.
2867,2867,msg.value>=count*MULTI_MINT_PRCE,msg.value>=MULTI_MINT_PRCE*count,The predicates are equivalent.
2868,2868,msg.value>=publicMintPrice*count,msg.value>=publicMintPrice*count,Exact Match
2869,2869,tokenIdToRedeemed[tokenId]!=true,!tokenIdToRedeemed[tokenId],The predicates are equivalent.
2870,2870,nodes[user][name].set,"exists(user,name)",The predicates are not equivalent and neither is stronger.
2871,2871,_toUser.send(_amount),_amount<=investor_pool_amount,The predicates are not equivalent and neither is stronger.
2872,2872,amount*mintCostEther==msg.value,amount>0,The predicates are not equivalent and neither is stronger.
2873,2873,bytes(label).length>0,record.whitelistParam>0,The predicates are not equivalent and neither is stronger.
2874,2874,destAddr.isContract(),destAddr.isContract(),Exact Match
2875,2875,"gem.transfer(guy,wad)","gem.transfer(guy,wad)",Exact Match
2876,2876,isInSquad(msg.sender),_squad[msg.sender],The predicates are not equivalent and neither is stronger.
2877,2877,msg.value/numberOfTokens==PRICE,totalPublicSupply.add(numberOfTokens)<=MAX_ODDBALL,The predicates are not equivalent and neither is stronger.
2878,2878,msg.value==mintPrice*_mintCount,msg.value>=mintPrice*_mintCount,The first predicate is stronger.
2879,2879,msg.value>=PRICE*numberOfTokens,_presaleClaimed[msg.sender]+numberOfTokens<=PRESALE_UNIMAN,The predicates are not equivalent and neither is stronger.
2880,2880,msg.value>=allowListPrice*count,saleState==ALLOWLIST_SALE,The predicates are not equivalent and neither is stronger.
2881,2881,msg.value>=bulkCost*_mintAmount,msg.value>=bulkCost*_mintAmount,Exact Match
2882,2882,msg.value>=cost*_tempMintAmount,msg.value>=cost*(_mintAmount-_tempMintAmount)+cost*_tempMintAmount,The predicates are not equivalent and neither is stronger.
2883,2883,msg.value>=cost*chargeableCount,msg.value>=cost*chargeableCount,Exact Match
2884,2884,msg.value>=freeCost*_mintAmount,freeCost*_mintAmount<=msg.value,The predicates are equivalent.
2885,2885,msg.value>=presaleCost*quantity,msg.value>=presaleCost*quantity,Exact Match
2886,2886,price*_numberOfMints==msg.value,msg.value>=price*_numberOfMints,The first predicate is stronger.
2887,2887,price*numberOfTokens==msg.value,price*numberOfTokens==msg.value,Exact Match
2888,2888,raisedAmount+msg.value<=hardCap,raisedAmount+msg.value<=hardCap,Exact Match
2889,2889,true&&false,balanceOf(recipient).add(finalAmount)<=_walletMax,The predicates are not equivalent and neither is stronger.
2890,2890,whitelistedMap[_address]!=false,whitelistedMap[_address],The predicates are equivalent.
2891,2891,allowedBoneLockersSelectors[_boneLocker][selector],allowedBoneLockersSelectors[_boneLocker][selector],Exact Match
2892,2892,gateway.isContract(),gateway!=ZERO_ADDR,The predicates are not equivalent and neither is stronger.
2893,2893,isHalter(msg.sender),isHalter(msg.sender),Exact Match
2894,2894,isMinter(msg.sender),isMinter(msg.sender),Exact Match
2895,2895,msg.value==_amount*EmeraldCost,msg.value==_amount*EmeraldCost,Exact Match
2896,2896,msg.value==amount*PRICE_PHASE1,PRICE_PHASE1*amount==msg.value,The predicates are equivalent.
2897,2897,msg.value==presalePrice*amount,msg.value>=presalePrice*amount,The first predicate is stronger.
2898,2898,msg.value==quantity*_mintPrice,_mintPrice==0||msg.value==_mintPrice*quantity,The first predicate is stronger.
2899,2899,msg.value==whitelistPrice*_num,msg.value==whitelistPrice,The predicates are not equivalent and neither is stronger.
2900,2900,msg.value>=PRICE_PUBLIC*_count,msg.value>=PRICE_PUBLIC*_count,Exact Match
2901,2901,msg.value>=cost*_preMintAmount,!paused,The predicates are not equivalent and neither is stronger.
2902,2902,msg.value>=minBounty+bountyFee,msg.value>=minBounty,The predicates are not equivalent and neither is stronger.
2903,2903,msg.value>=mintPrice*paidCount,paidCount*mintPrice==msg.value,The second predicate is stronger.
2904,2904,msg.value>=mintPriceEth*amount,msg.value>=mintPriceEth*amount,Exact Match
2905,2905,msg.value>=presaleCost*_amount,msg.value>=presaleCost*_amount,Exact Match
2906,2906,msg.value>=presalePrice*amount,msg.value>=presalePrice*amount,Exact Match
2907,2907,msg.value>=pricePublic*__count,msg.value>=pricePublic*__count,Exact Match
2908,2908,msg.value>=publicCost*quantity,msg.value>=publicCost*quantity,Exact Match
2909,2909,rSrStxSetRootChecksum[0]==rSrStxSetRootChecksum[1],rSrStxSetRootChecksum[0]!=bytes32(0)&&rSrStxSetRootChecksum[1]!=bytes32(0),The predicates are not equivalent and neither is stronger.
2910,2910,supply+_ids.length<=MAX_SUPPLY,supply+_ids.length<=MAX_SUPPLY,Exact Match
2911,2911,this.balance>=amount*sellPrice,this.balance>=amount*sellPrice,Exact Match
2912,2912,tokenTradingStatus[tokenId]!=1,tokenTradingStatus[tokenId]==1,The predicates are not equivalent and neither is stronger.
2913,2913,"verify(_merkleRoot,_merkleProof,_to,totalReserved)","verify(_merkleRoot,_merkleProof,_to,totalReserved)",Exact Match
2914,2914,wlPrice*_mintAmount<=msg.value,wlPrice*_mintAmount<=msg.value,Exact Match
2915,2915,_reward(msg.sender),_reward(msg.sender),Exact Match
2916,2916,_script.length-location>=0x18,location+0x14<=_script.length,The predicates are not equivalent and neither is stronger.
